city_id,city_name,state,city_label,agency_type,latitude,longitude,population
AL0010200,Birmingham,AL,"Birmingham, AL",City,33.5206824,-86.8024326,195393
AL0011200,Hoover,AL,"Hoover, AL",City,33.38795,-86.80636,65283
AL0020100,Mobile,AL,"Mobile, AL",City,30.6913462,-88.0437509,255927
AR0040100,Bentonville,AR,"Bentonville, AR",City,36.3728608,-94.208787,63670
AR0230100,Conway,AR,"Conway, AR",City,35.0891932,-92.4398402,72394
AR0600200,Little Rock,AR,"Little Rock, AR",City,34.7465071,-92.2896267,205320
AR0600300,North Little Rock,AR,"North Little Rock, AR",City,34.769536,-92.2670941,64455
AR0660100,Fort Smith,AR,"Fort Smith, AR",City,35.3880338,-94.4265011,90848
AR0720100,Fayetteville,AR,"Fayetteville, AR",City,36.0625843,-94.1574328,105335
AZ0070100,Avondale,AZ,"Avondale, AZ",City,33.4355977,-112.349602,98457
AZ0070300,Buckeye,AZ,"Buckeye, AZ",City,33.3703197,-112.583776,120174
AZ0070500,Chandler,AZ,"Chandler, AZ",City,33.3062031,-111.841185,282191
AZ0071100,Gilbert,AZ,"Gilbert, AZ",City,33.3527632,-111.789037,293851
AZ0071500,Goodyear,AZ,"Goodyear, AZ",City,33.4672279,-112.3853489,123911
AZ0072300,Phoenix,AZ,"Phoenix, AZ",City,33.4484367,-112.074141,1688662
AZ0072500,Scottsdale,AZ,"Scottsdale, AZ",City,33.4942189,-111.926018,247258
AZ0072900,Tempe,AZ,"Tempe, AZ",City,33.4255117,-111.940016,191348
AZ0100000,Pima,AZ,"Pima, AZ",County,32.1112624,-111.6546163,366196
AZ0100300,Tucson,AZ,"Tucson, AZ",City,32.2228765,-110.974847,556898
AZ0100900,Marana,AZ,"Marana, AZ",City,32.4483736,-111.211475,65094
AZ0110000,Pinal,AZ,"Pinal, AZ",County,32.8085851,-111.4426212,245258
AZ0110100,Casa Grande,AZ,"Casa Grande, AZ",City,32.8772834,-111.7536818,73225
AZ0111700,Maricopa,AZ,"Maricopa, AZ",City,33.34883,-112.49123,81890
AZ0130000,Yavapai,AZ,"Yavapai, AZ",County,34.5668857,-112.5515965,97732
AZ0131100,Prescott Valley,AZ,"Prescott Valley, AZ",City,34.5950776,-112.3338634,52622
AZ0140500,Yuma,AZ,"Yuma, AZ",City,32.7254216,-114.6198088,105175
CA0010000,Alameda,CA,"Alameda, CA",County,37.6090291,-121.899142,139564
CA0010100,Alameda,CA,"Alameda, CA",City,37.6090291,-121.899142,78978
CA0010300,Berkeley,CA,"Berkeley, CA",City,37.8708393,-122.272863,121235
CA0010600,Hayward,CA,"Hayward, CA",City,37.6688205,-122.080796,157399
CA0011100,Pleasanton,CA,"Pleasanton, CA",City,37.6624312,-121.8746789,74698
CA0070100,Antioch,CA,"Antioch, CA",City,38.0093296,-121.8106925,119234
CA0070200,Brentwood,CA,"Brentwood, CA",City,37.9317766,-121.696026,66753
CA0070400,Concord,CA,"Concord, CA",City,37.9768525,-122.0335624,123703
CA0071000,Richmond,CA,"Richmond, CA",City,37.9357576,-122.347748,115149
CA0071200,Walnut Creek,CA,"Walnut Creek, CA",City,37.9020731,-122.0618702,70970
CA0090000,El Dorado,CA,"El Dorado, CA",County,38.7574137,-120.5276129,161044
CA0100100,Clovis,CA,"Clovis, CA",City,36.8252277,-119.7029194,129862
CA0100500,Fresno,CA,"Fresno, CA",City,36.7394421,-119.78483,551969
CA0150200,Bakersfield,CA,"Bakersfield, CA",City,35.3738712,-119.019463,420589
CA0190000,Los Angeles,CA,"Los Angeles, CA",County,34.3155072,-118.209681,945223
CA0190100,Alhambra,CA,"Alhambra, CA",City,34.093042,-118.12706,79699
CA0190200,Arcadia,CA,"Arcadia, CA",City,34.1362075,-118.0401497,53974
CA0190600,Baldwin Park,CA,"Baldwin Park, CA",City,34.0854739,-117.9611761,68586
CA0191200,Burbank,CA,"Burbank, CA",City,34.1812089,-118.307201,102684
CA0192200,El Monte,CA,"El Monte, CA",City,34.0751571,-118.036849,103551
CA0192400,Gardena,CA,"Gardena, CA",City,33.8815601,-118.2935879,58456
CA0194100,Long Beach,CA,"Long Beach, CA",City,33.7690164,-118.191604,447317
CA0194200,Los Angeles,CA,"Los Angeles, CA",City,34.0536909,-118.242766,3874484
CA0194800,Monterey Park,CA,"Monterey Park, CA",City,34.051522,-118.129807,57293
CA0195300,Pasadena,CA,"Pasadena, CA",City,34.1476507,-118.144155,136663
CA0195500,Pomona,CA,"Pomona, CA",City,34.0553813,-117.7517496,147214
CA0196500,Santa Monica,CA,"Santa Monica, CA",City,34.0194704,-118.491227,90193
CA0197200,Torrance,CA,"Torrance, CA",City,33.8371392,-118.3413606,137914
CA0197500,West Covina,CA,"West Covina, CA",City,34.0686208,-117.9389526,106374
CA0200200,Madera,CA,"Madera, CA",City,37.1716264,-119.7737991,69753
CA0210600,Novato,CA,"Novato, CA",City,38.1061979,-122.5681191,52105
CA0210900,San Rafael,CA,"San Rafael, CA",City,37.9747795,-122.5316686,59670
CA0240600,Merced,CA,"Merced, CA",City,37.1641544,-120.7678602,98482
CA0270000,Monterey,CA,"Monterey, CA",County,36.2231079,-121.387742,101058
CA0280200,Napa,CA,"Napa, CA",City,38.4898675,-122.3218414,76328
CA0300100,Anaheim,CA,"Anaheim, CA",City,33.8347516,-117.911732,344040
CA0300300,Buena Park,CA,"Buena Park, CA",City,33.870413,-117.9962165,82300
CA0300700,Fountain Valley,CA,"Fountain Valley, CA",City,33.7038145,-117.9627349,55805
CA0300800,Fullerton,CA,"Fullerton, CA",City,33.8708215,-117.929416,139237
CA0301400,Newport Beach,CA,"Newport Beach, CA",City,33.6170092,-117.9294401,82431
CA0302200,Tustin,CA,"Tustin, CA",City,33.7458511,-117.826166,78611
CA0302400,Westminster,CA,"Westminster, CA",City,33.7578725,-117.9859054,89231
CA0302500,Yorba Linda,CA,"Yorba Linda, CA",City,33.8901096,-117.8249705,66061
CA0302600,Irvine,CA,"Irvine, CA",City,33.6856969,-117.825981,321339
CA030350X,Mission Viejo,CA,"Mission Viejo, CA",City,33.5965685,-117.659405,91142
CA030390X,Laguna Niguel,CA,"Laguna Niguel, CA",City,33.5225261,-117.7075526,64098
CA030490X,Aliso Viejo,CA,"Aliso Viejo, CA",City,33.5761376,-117.7258122,50060
CA0310300,Lincoln,CA,"Lincoln, CA",City,38.8915741,-121.29318,57962
CA0310400,Rocklin,CA,"Rocklin, CA",City,38.7907339,-121.2357828,75993
CA0310500,Roseville,CA,"Roseville, CA",City,38.7521235,-121.2880059,167225
CA0330200,Beaumont,CA,"Beaumont, CA",City,33.9299925,-116.9763092,61160
CA0331300,Riverside,CA,"Riverside, CA",City,33.9824949,-117.374238,325858
CA0331500,Corona,CA,"Corona, CA",City,33.8752945,-117.566444,162606
CA0334200,Murrieta,CA,"Murrieta, CA",City,33.560832,-117.210656,112892
CA0340000,Sacramento,CA,"Sacramento, CA",County,38.4732259,-121.2980707,602628
CA0340100,Folsom,CA,"Folsom, CA",City,38.6779591,-121.176058,89999
CA0340400,Sacramento,CA,"Sacramento, CA",City,38.5810606,-121.493895,538389
CA0340H00,Elk Grove,CA,"Elk Grove, CA",City,38.4087993,-121.3716178,184388
CA0349600,Citrus Heights,CA,"Citrus Heights, CA",City,38.7071247,-121.2810611,86751
CA0360200,Chino,CA,"Chino, CA",City,34.0133561,-117.690075,94769
CA0360400,Fontana,CA,"Fontana, CA",City,34.0922947,-117.43433,220837
CA0370000,San Diego,CA,"San Diego, CA",County,32.9637838,-116.7706277,498387
CA0370100,Carlsbad,CA,"Carlsbad, CA",City,33.1580933,-117.3505966,113239
CA0370200,Chula Vista,CA,"Chula Vista, CA",City,32.6400541,-117.084195,279237
CA0370500,El Cajon,CA,"El Cajon, CA",City,32.7947731,-116.962526,102604
CA0370600,Escondido,CA,"Escondido, CA",City,33.1216751,-117.0814849,148303
CA0370800,La Mesa,CA,"La Mesa, CA",City,32.7678288,-117.0230839,60686
CA0370900,National City,CA,"National City, CA",City,32.6781085,-117.0991967,57748
CA0371000,Oceanside,CA,"Oceanside, CA",City,33.1958696,-117.379483,170168
CA0371100,San Diego,CA,"San Diego, CA",City,32.7174202,-117.162772,1409432
CA0380100,San Francisco,CA,"San Francisco, CA",City,37.7879363,-122.4075201,815330
CA0390300,Manteca,CA,"Manteca, CA",City,37.7986184,-121.2117148,97039
CA0390600,Tracy,CA,"Tracy, CA",City,37.7385507,-121.420139,101835
CA0410000,San Mateo,CA,"San Mateo, CA",County,37.496904,-122.3330573,127999
CA0410600,Daly City,CA,"Daly City, CA",City,37.6904826,-122.47267,100564
CA0411300,Redwood City,CA,"Redwood City, CA",City,37.4863239,-122.232523,82769
CA0420400,Santa Maria,CA,"Santa Maria, CA",City,34.9531295,-120.435857,111741
CA0430400,Gilroy,CA,"Gilroy, CA",City,37.0065078,-121.5631723,60649
CA0430800,Milpitas,CA,"Milpitas, CA",City,37.4332273,-121.8989248,79749
CA0431100,Mountain View,CA,"Mountain View, CA",City,37.3893889,-122.0832101,88504
CA0431200,Palo Alto,CA,"Palo Alto, CA",City,37.4443293,-122.1598465,67491
